"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
5.36973744859092e-10,-0.37374475922708,0.027,0.182,1.31837793837804e-05
5.62955526283836e-10,-0.512429704270658,0.116,0.436,1.38216840813207e-05
5.70136729377509e-10,-0.482825478117067,0.014,0.127,1.39979969796766e-05
5.78730021695964e-10,-0.575488052709349,0.038,0.218,1.42089794926793e-05
6.21883357590152e-10,-0.441547003045799,0.014,0.127,1.52684801955534e-05
6.35031022946891e-10,-0.757543361590794,0.201,0.6,1.55912816753921e-05
6.38686658790169e-10,-0.725115264600348,0.123,0.436,1.56810348466162e-05
6.41826390154368e-10,-0.35369094126858,0.124,0.455,1.575812153107e-05
6.44165746458558e-10,-0.728979434771948,0.43,0.927,1.58155574070505e-05
6.82331098758135e-10,-0.664468104367125,0.083,0.345,1.67525931367097e-05
6.82824993552814e-10,-0.577736214509759,0.133,0.473,1.67647192417087e-05
6.8410058277221e-10,-0.284003455287263,0.014,0.127,1.67960375082233e-05
6.91130612543122e-10,-0.399288656442189,0.032,0.2,1.69686387991587e-05
7.1258423555132e-10,-0.503438293982803,0.027,0.182,1.7495368151256e-05
7.13453843069088e-10,-0.498028756070881,0.049,0.255,1.75167187550322e-05
7.26595857728263e-10,-0.486631920401744,0.068,0.309,1.78393814989443e-05
7.29460624230802e-10,-0.324743088709372,0.004,0.073,1.79097172461147e-05
7.45903813606488e-10,-0.274119539588826,0.014,0.127,1.83134304316665e-05
7.55675662297463e-10,-0.435682865034325,0.068,0.309,1.85533488607273e-05
7.73277471145309e-10,-0.33365814051267,0.038,0.218,1.89855084715596e-05
7.82794004565603e-10,-0.26852626155859,0.004,0.073,1.92191584000947e-05
7.99652326870183e-10,-0.434856419081026,0.062,0.291,1.96330639293167e-05
8.05176112514044e-10,-0.230929630324302,0.004,0.073,1.97686839144448e-05
8.05176112514044e-10,-0.25589555419017,0.004,0.073,1.97686839144448e-05
8.05176112514044e-10,-0.214328991102058,0.004,0.073,1.97686839144448e-05
8.09441384444744e-10,-0.427735859764969,0.023,0.164,1.98734048708874e-05
8.40306528213011e-10,-0.0511380889411526,0.007,0.091,2.06312058806859e-05
8.46743363404505e-10,-0.504523738745888,0.044,0.236,2.07892430583074e-05
8.47696002251804e-10,-0.611022478913003,0.33,0.855,2.08126322472863e-05
8.7777154811584e-10,-0.705085288886841,0.028,0.182,2.15510470493401e-05
8.8727550077295e-10,-0.543493813911173,0.111,0.418,2.17843880949775e-05
9.19926710745385e-10,-0.416630209045006,0.027,0.182,2.25860406022207e-05
9.37806053236467e-10,-0.474009370292786,0.038,0.218,2.30250142190617e-05
9.53844499169328e-10,-0.522520038366755,0.044,0.236,2.34187901436053e-05
9.60505348119829e-10,-0.52127413577373,0.103,0.4,2.3582327307038e-05
1.00397780531902e-09,-0.589691578314133,0.057,0.273,2.46496630761925e-05
1.00865160441936e-09,-0.533181524504401,0.062,0.291,2.47644141917042e-05
1.02296499791899e-09,-0.386521586295011,0.01,0.109,2.5115836628907e-05
1.03602632007851e-09,-0.466944180559167,0.044,0.236,2.54365182105675e-05
